latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-11-21,24.0,15.3,1.60
2015-11-22,23.9,14.8,3.30
2015-11-23,24.1,16.9,11.50
2015-11-24,24.6,14.7,7.30
2015-11-25,24.8,15.1,5.60
2015-11-26,25.8,14.9,2.40
2015-11-27,23.4,16.2,5.80
2015-11-28,23.4,15.4,5.80
2015-11-29,25.5,15.0,0.10
2015-11-30,26.0,15.9,0.60
2015-12-01,25.0,17.1,3.30
2015-12-02,26.6,14.8,0.00
2015-12-03,26.3,15.2,1.50
2015-12-04,24.9,16.5,5.40
2015-12-05,26.1,14.7,4.30
2015-12-06,25.3,14.7,1.90
2015-12-07,24.0,16.1,5.20
2015-12-08,25.0,16.2,1.30
2015-12-09,25.1,15.3,1.90
2015-12-10,25.5,15.1,2.30
2015-12-11,25.9,15.7,0.30
2015-12-12,27.1,14.4,0.00
2015-12-13,24.6,15.7,2.00
2015-12-14,24.0,16.6,4.30
2015-12-15,23.0,15.5,6.80
2015-12-16,25.7,16.3,5.20
2015-12-17,25.7,16.0,6.70
2015-12-18,25.2,16.4,1.90
2015-12-19,25.5,15.8,0.20
2015-12-20,26.2,13.7,0.00
2015-12-21,27.0,14.6,0.00
2015-12-22,27.6,14.0,0.00
2015-12-23,27.0,15.7,0.10
2015-12-24,27.5,14.7,0.00
2015-12-25,28.1,14.4,0.00
2015-12-26,27.2,14.2,0.00
2015-12-27,28.2,15.6,0.00
2015-12-28,26.2,15.8,4.60
2015-12-29,28.3,16.5,0.00
2015-12-30,29.1,15.5,0.00
2015-12-31,27.6,15.8,0.00
2016-01-01,26.2,16.9,1.00
2016-01-02,26.3,16.8,2.80
2016-01-03,26.1,15.8,3.00
2016-01-04,26.3,17.2,4.70
2016-01-05,25.2,15.0,0.80
2016-01-06,25.4,16.6,4.80
2016-01-07,26.3,16.4,2.90
2016-01-08,26.0,16.4,3.20
2016-01-09,27.3,15.8,2.20
2016-01-10,25.7,17.4,3.40
2016-01-11,21.9,18.1,19.40
2016-01-12,26.7,15.0,0.00
2016-01-13,25.2,17.6,2.80
2016-01-14,24.6,16.6,1.80
2016-01-15,28.2,14.6,0.00
2016-01-16,28.5,15.7,0.00
2016-01-17,29.0,16.4,0.00
2016-01-18,28.8,15.6,0.00
