latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-11-28,24.7,20.2,2.00
2015-11-29,26.4,20.2,1.00
2015-11-30,26.7,20.3,0.60
2015-12-01,27.3,18.7,0.20
2015-12-02,27.5,18.4,0.00
2015-12-03,25.1,17.8,0.50
2015-12-04,24.0,19.4,7.00
2015-12-05,25.2,16.9,6.70
2015-12-06,25.9,16.6,4.20
2015-12-07,23.1,18.5,4.70
2015-12-08,25.5,16.6,3.10
2015-12-09,25.4,18.6,8.50
2015-12-10,25.6,16.9,13.20
2015-12-11,26.5,17.6,0.20
2015-12-12,27.1,16.3,0.00
2015-12-13,25.3,16.8,0.20
2015-12-14,25.1,18.8,6.70
2015-12-15,23.3,19.7,13.10
2015-12-16,25.2,18.1,0.30
2015-12-17,24.1,20.1,0.40
2015-12-18,24.5,17.5,0.40
2015-12-19,25.7,18.5,10.30
2015-12-20,26.6,17.5,0.00
2015-12-21,27.0,15.8,0.70
2015-12-22,27.1,16.2,1.60
2015-12-23,26.5,18.8,4.20
2015-12-24,27.1,17.9,0.20
2015-12-25,27.7,16.0,0.00
2015-12-26,26.7,16.7,0.20
2015-12-27,27.0,17.5,0.90
2015-12-28,26.7,17.1,0.40
2015-12-29,27.0,17.2,0.30
2015-12-30,28.4,17.3,0.70
2015-12-31,27.3,19.3,1.00
2016-01-01,26.0,20.4,0.70
2016-01-02,25.4,20.4,2.00
2016-01-03,25.8,17.1,7.60
2016-01-04,24.7,19.6,3.80
2016-01-05,25.8,19.6,7.30
2016-01-06,25.0,20.0,13.20
2016-01-07,25.6,20.4,4.50
2016-01-08,25.1,20.3,5.00
2016-01-09,24.9,19.3,6.90
2016-01-10,23.5,19.8,52.50
2016-01-11,22.6,19.6,32.90
2016-01-12,24.4,18.6,1.20
2016-01-13,23.5,19.8,13.00
2016-01-14,24.3,17.2,4.20
2016-01-15,26.3,15.3,0.00
2016-01-16,26.6,17.7,0.10
2016-01-17,25.5,20.0,0.60
2016-01-18,26.5,16.1,1.40
2016-01-19,26.4,14.8,0.80
2016-01-20,25.7,15.7,2.70
2016-01-21,24.8,18.6,6.20
2016-01-22,24.9,19.1,3.80
2016-01-23,26.1,17.9,1.60
2016-01-24,26.0,18.2,13.60
2016-01-25,25.4,20.6,27.00
2016-01-26,25.7,19.6,1.10
2016-01-27,26.0,16.9,1.30
2016-01-28,25.9,15.8,0.60
2016-01-29,25.0,15.8,3.90
2016-01-30,24.2,17.4,30.20
2016-01-31,24.7,18.1,1.60
2016-02-01,26.2,18.4,0.80
2016-02-02,26.8,14.8,0.00
2016-02-03,25.1,18.6,3.00
2016-02-04,22.8,19.4,2.00
2016-02-05,24.4,18.1,5.20
2016-02-06,27.9,15.9,0.20
2016-02-07,26.1,19.2,2.60
2016-02-08,26.6,19.1,3.90
2016-02-09,25.9,19.6,4.30
2016-02-10,26.4,16.9,2.80
2016-02-11,24.4,19.5,3.50
2016-02-12,25.2,19.2,1.80
2016-02-13,25.9,19.5,1.60
2016-02-14,26.7,19.6,4.00
2016-02-15,27.1,18.9,0.50
2016-02-16,26.7,17.8,4.30
2016-02-17,25.3,19.2,3.70
2016-02-18,26.4,18.9,2.20
2016-02-19,27.7,19.9,0.70
2016-02-20,26.2,19.3,2.20
2016-02-21,25.0,19.7,15.10
2016-02-22,25.4,19.8,9.50
2016-02-23,26.7,19.4,24.50
2016-02-24,27.0,19.0,10.40
2016-02-25,24.6,20.1,15.30
2016-02-26,25.1,20.3,16.00
2016-02-27,26.8,20.1,35.30
2016-02-28,26.1,20.3,13.20
2016-02-29,25.7,18.9,4.50
2016-03-01,25.3,18.7,15.10
2016-03-02,24.4,19.7,9.60
2016-03-03,24.9,19.8,5.90
2016-03-04,24.6,19.4,10.10
2016-03-05,24.6,18.7,2.00
2016-03-06,22.5,18.7,21.00
2016-03-07,23.4,19.0,3.90
2016-03-08,25.2,18.4,10.50
2016-03-09,26.6,16.4,13.60
2016-03-10,25.3,19.5,11.90
2016-03-11,24.8,19.6,41.40
2016-03-12,25.2,19.3,18.70
2016-03-13,25.3,19.6,16.70
2016-03-14,23.5,20.2,11.20
2016-03-15,26.9,18.4,0.00
2016-03-16,26.5,18.8,1.30
2016-03-17,25.3,19.4,3.50
2016-03-18,25.6,18.9,11.70
2016-03-19,26.9,17.9,0.40
2016-03-20,26.2,19.8,1.40
2016-03-21,26.5,19.5,0.60
2016-03-22,27.3,16.4,1.30
2016-03-23,26.1,18.2,0.00
2016-03-24,27.5,17.7,0.20
2016-03-25,27.1,18.0,2.60
2016-03-26,27.6,19.5,14.80
2016-03-27,26.7,20.0,3.90
2016-03-28,23.3,19.4,63.10
2016-03-29,26.3,18.7,14.20
2016-03-30,25.3,20.3,5.90
2016-03-31,24.4,20.3,38.20
2016-04-01,24.6,19.2,25.70
2016-04-02,22.6,19.1,25.00
2016-04-03,24.3,18.2,1.10
2016-04-04,24.2,18.0,0.00
2016-04-05,26.3,19.8,4.20
2016-04-06,27.6,19.1,0.00
2016-04-07,26.6,20.7,1.30
2016-04-08,26.6,19.2,18.10
2016-04-09,24.9,19.9,1.20
2016-04-10,25.3,20.0,17.90
2016-04-11,23.3,19.6,91.00
2016-04-12,22.6,19.2,50.40
2016-04-13,25.3,19.6,6.80
2016-04-14,26.5,19.0,0.40
2016-04-15,27.4,21.4,0.10
2016-04-16,26.4,20.8,6.60
2016-04-17,25.6,19.6,1.20
2016-04-18,26.6,19.4,2.10
2016-04-19,26.3,18.5,5.00
2016-04-20,26.3,18.5,2.80
2016-04-21,26.5,18.6,0.60
2016-04-22,27.0,19.8,0.00
2016-04-23,26.4,19.6,1.00
2016-04-24,24.3,19.1,15.50
2016-04-25,25.6,19.2,34.30
2016-04-26,25.9,19.5,45.40
2016-04-27,25.3,18.8,29.20
2016-04-28,22.7,20.1,45.00
2016-04-29,25.2,20.4,2.90
2016-04-30,24.7,20.7,1.50
2016-05-01,24.1,19.7,14.90
2016-05-02,22.9,19.7,17.50
2016-05-03,24.9,16.6,0.20
2016-05-04,24.8,20.5,0.90
2016-05-05,25.7,19.2,0.60
2016-05-06,26.4,20.0,0.20
2016-05-07,25.0,19.5,9.80
2016-05-08,25.0,20.2,58.90
2016-05-09,22.3,19.3,38.40
2016-05-10,24.7,19.2,8.10
2016-05-11,26.0,17.9,0.40
2016-05-12,26.2,18.2,0.10
2016-05-13,27.3,18.3,0.00
2016-05-14,26.3,18.7,0.00
2016-05-15,27.0,19.4,0.10
2016-05-16,26.4,17.4,0.00
2016-05-17,26.4,18.2,0.60
2016-05-18,25.5,18.3,4.80
2016-05-19,26.7,18.2,3.10
2016-05-20,26.9,18.1,0.60
2016-05-21,26.8,18.0,1.10
2016-05-22,25.9,20.1,0.50
2016-05-23,27.0,18.4,0.00
2016-05-24,25.8,19.2,0.00
2016-05-25,25.5,17.9,4.10
2016-05-26,22.9,19.8,23.20
2016-05-27,25.9,17.7,0.00
2016-05-28,23.5,18.4,0.00
2016-05-29,22.8,19.0,3.90
2016-05-30,25.5,19.2,22.50
2016-05-31,24.6,18.1,31.20
2016-06-01,26.0,17.9,2.50
2016-06-02,24.6,18.3,2.70
2016-06-03,24.1,18.9,2.60
2016-06-04,24.8,19.2,3.30
2016-06-05,27.2,15.3,2.90
2016-06-06,23.9,18.8,31.40
2016-06-07,25.1,18.7,0.00
2016-06-08,26.6,18.5,1.40
2016-06-09,25.5,15.6,2.00
2016-06-10,23.9,17.4,0.80
2016-06-11,25.7,16.2,0.00
2016-06-12,26.0,16.4,0.00
2016-06-13,25.8,17.4,0.00
2016-06-14,24.0,18.2,2.80
2016-06-15,26.3,17.8,0.10
